,Date,Open,Time
103,12/01/2020,1.3415,1606780800.0
104,12/02/2020,1.3363,1606867200.0
105,12/03/2020,1.3452,1606953600.0
106,12/04/2020,1.3452,1607040000.0
107,12/06/2020,1.3437,1607212800.0
108,12/07/2020,1.3376,1607299200.0
109,12/08/2020,1.3353,1607385600.0
110,12/09/2020,1.3396,1607472000.0
111,12/10/2020,1.3293,1607558400.0
112,12/11/2020,1.3293,1607644800.0
113,12/13/2020,1.3223,1607817600.0
114,12/14/2020,1.3322,1607904000.0
115,12/15/2020,1.3461,1607990400.0
116,12/16/2020,1.3507,1608076800.0
117,12/17/2020,1.3582,1608163200.0
118,12/18/2020,1.3582,1608249600.0
119,12/20/2020,1.352,1608422400.0
120,12/21/2020,1.3463,1608508800.0
121,12/22/2020,1.336,1608595200.0
122,12/23/2020,1.3492,1608681600.0
123,12/24/2020,1.3555,1608768000.0
124,12/25/2020,1.3555,1608854400.0
125,12/27/2020,1.3548,1609027200.0
126,12/28/2020,1.3449,1609113600.0
127,12/29/2020,1.35,1609200000.0
128,12/30/2020,1.3622,1609286400.0
129,12/31/2020,1.3673,1609372800.0
130,01/01/2021,1.3673,1609459200.0
131,01/03/2021,1.3671,1609632000.0
132,01/04/2021,1.3569,1609718400.0
133,01/05/2021,1.3624,1609804800.0
134,01/06/2021,1.3607,1609891200.0
135,01/07/2021,1.3563,1609977600.0
136,01/08/2021,1.3563,1610064000.0
137,01/10/2021,1.3563,1610236800.0
138,01/11/2021,1.3514,1610323200.0
139,01/12/2021,1.3663,1610409600.0
140,01/13/2021,1.3637,1610496000.0
141,01/14/2021,1.3687,1610582400.0
142,01/15/2021,1.3687,1610668800.0
143,01/17/2021,1.3586,1610841600.0
144,01/18/2021,1.3584,1610928000.0
145,01/19/2021,1.3628,1611014400.0
146,01/20/2021,1.3653,1611100800.0
147,01/21/2021,1.3732,1611187200.0
148,01/22/2021,1.3732,1611273600.0
149,01/24/2021,1.3684,1611446400.0
150,01/25/2021,1.3674,1611532800.0
151,01/26/2021,1.3733,1611619200.0
152,01/27/2021,1.3686,1611705600.0
153,01/28/2021,1.3718,1611792000.0
154,01/29/2021,1.3718,1611878400.0
155,01/31/2021,1.3699,1612051200.0
156,02/01/2021,1.3661,1612137600.0
157,02/02/2021,1.3665,1612224000.0
158,02/03/2021,1.3644,1612310400.0
159,02/04/2021,1.367,1612396800.0
160,02/05/2021,1.367,1612483200.0
161,02/07/2021,1.3733,1612656000.0
162,02/08/2021,1.3738,1612742400.0
